,School Name,Spent Per Student,Student enrollment,Amount needed to reach 100% Fair Student Funding,Percent of Fair Student Funding
1511,The Laboratory School of Finance and Technology: X223,"$21,253",666,"$784,014",90%
1512,The Lexington Academy,"$25,661",539,"$563,095",91%
1513,The Longwood Academy of Discovery,"$24,294",595,"$236,416",96%
1514,"The Marie Curie School for Medicine, Nursing, and Health Professions","$22,290",450,"$554,338",90%
1515,The Math & Science Exploratory School,"$25,945",528,"$557,932",90%
1516,The Matilda Avenue School,"$20,793",169,$0,100%
1517,The Maurice Sendak Community School,"$18,662",304,$0,100%
1518,The Maxine Greene HS for Imaginative Inquiry,"$22,675",352,"$457,669",90%
1519,The Metropolitan Soundview High School,"$24,257",416,"$46,036",99%
1520,The Michael J. Petrides School,"$21,763",1257,"$1,351,436",90%
1521,The Mott Hall School,"$22,545",293,$0,116%
1522,The New American Academy at Roberto Clemente State Park,"$23,117",714,$0,100%
1523,The New School for Leadership and Journalism,"$21,871",773,"$937,582",90%
1524,The Peck Slip School,"$21,277",411,$0,100%
1525,"The Queens College School for Math, Science and Technology","$18,260",482,"$428,926",90%
1526,The Queens School for Leadership and Excellence,"$20,196",393,$0,100%
1527,The Richard H. Hungerford School,"$85,486",500,N/A,
1528,The River School,"$20,500",318,$3,100%
1529,The Riverside School for Makers and Artists,"$24,981",525,"$22,255",100%
1530,The Riverview School,"$65,647",578,N/A,
1531,"The School for Classics: An Academy of Thinkers, Writers and Performers","$23,080",261,"$324,475",90%
1532,The School for Future Leaders,"$23,137",399,$0,100%
1533,The School for Inquiry and Social Justice,"$21,946",532,"$642,881",90%
1534,The School of Integrated Learning,"$24,701",342,$0,100%
1535,The School of Science and Applied Learning,"$25,889",573,"$637,442",90%
1536,The Science and Medicine Middle School,"$23,760",389,"$100,260",98%
1537,The Seeall Academy,"$23,351",1120,"$546,228",96%
1538,The STAR Academy - P.S.63,"$32,215",171,$0,102%
1539,The STEAM Bridge School,"$21,882",240,$0,100%
1540,The Stephanie A. Vierno School,"$23,241",631,"$681,041",90%
1541,The Urban Assembly Bronx Academy of Letters,"$24,549",595,"$803,040",90%
1542,The Urban Assembly School for Collaborative Healthcare,"$23,138",323,$0,100%
1543,The Urban Assembly School for Emergency Management,"$24,031",286,$0,100%
1544,The Urban Assembly School for Global Commerce,"$25,096",232,$0,100%
1545,The Urban Assembly School for Green Careers,"$26,109",305,"$420,316",90%
1546,The Urban Assembly School for Law and Justice,"$20,734",441,"$477,070",90%
1547,The Urban Assembly Unison School,"$28,394",164,$0,100%
1548,The Vida Bogart School for All Children,"$75,612",452,N/A,
1549,The Walton Avenue School,"$24,789",504,$0,100%
1550,The Williamsburg High School of Art and Technology,"$26,427",283,$0,100%
1551,The Windsor Terrace School,"$21,829",499,"$401,725",91%
1552,The Woodside Community School,"$21,607",275,$0,100%
1553,Theatre Arts Production Company School,"$21,877",607,"$713,598",90%
1554,Thomas A. Edison Career and Technical Education High School,"$19,949",2163,"$2,398,289",90%
1555,Thomas C. Giordano Middle School 45,"$22,793",669,"$803,734",90%
1556,Thomas Jefferson YABC,"$12,924",199,N/A,
1557,Thurgood Marshall Academy for Learning and Social Change,"$21,571",527,"$593,604",90%
1558,Thurgood Marshall Academy Lower School,"$23,208",216,"$51,510",97%
1559,Tompkins Square Middle School,"$23,587",365,"$457,102",90%
1560,Tottenville High School,"$19,601",3721,"$3,903,706",90%
1561,Townsend Harris High School,"$17,918",1139,"$839,083",93%
1562,Transit Tech Career and Technical Education High School,"$26,683",622,"$907,749",90%
1563,Union Square Academy for Health Sciences,"$22,090",411,$0,100%
1564,Unity Center for Urban Technologies,"$23,449",245,"$74,323",97%
1565,University Heights Secondary School,"$19,738",514,"$521,777",90%
1566,University Neighborhood High School,"$21,152",515,"$505,679",91%
1567,University Neighborhood Middle School,"$37,499",198,"$166,740",94%
1568,Urban Academy Laboratory High School,"$28,099",153,$0,113%
1569,Urban Action Academy,"$25,059",242,"$288,497",90%
