,School Name,Spent Per Student,Student enrollment,Amount needed to reach 100% Fair Student Funding,Percent of Fair Student Funding
581,Mott Hall Bronx High School,"$21,779",352,"$427,170",90%
582,Mott Hall Community School,"$24,480",331,$0,100%
583,Mott Hall High School,"$24,035",263,"$352,188",90%
584,Mott Hall II,"$20,545",405,"$480,388",90%
585,Mott Hall III,"$19,653",359,"$393,370",90%
586,Mott Hall IV,"$29,412",143,"$192,042",90%
587,Mott Hall V,"$22,496",673,"$857,871",90%
588,Mott Haven Community High School,"$28,726",228,$0,100%
589,Mott Haven Village Preparatory High School,"$25,380",327,"$466,314",90%
590,Mount Eden Children's Academy,"$21,194",382,$0,100%
591,Multicultural High School,"$25,055",269,$0,100%
592,Murray Hill Academy,"$25,216",303,$0,100%
593,Murry Bergtraum High School for Business Careers,"$38,941",169,"$231,242",90%
594,Muscota,"$21,583",296,"$126,231",95%
595,N.Y.C. Lab School for Collaborative Studies,"$25,920",475,"$174,100",96%
596,N.Y.C. Museum School,"$19,682",449,"$256,312",94%
597,Naples Street Elementary School,"$29,544",285,$3,100%
598,Neighborhood School,"$23,340",306,"$333,437",90%
599,Nelson Mandela High School,"$23,142",237,$0,100%
600,New Bridges Elementary,"$24,663",382,$0,100%
601,New Design High School,"$22,602",426,"$401,283",92%
602,New Design Middle School,"$37,276",107,"$25,857",98%
603,New Directions Secondary School,"$34,088",216,$0,100%
604,New Dorp High School,"$21,202",3023,"$3,546,857",90%
605,"New Explorations into Science, Technology and Math High School","$16,571",1717,"$1,441,075",91%
606,New Heights Middle School,"$27,743",240,$0,100%
607,New Millennium Business Academy Middle School,"$28,068",255,$0,100%
608,New Rikers Island School,"$49,831",330,N/A,
609,New Utrecht High School,"$19,547",3497,"$3,957,223",90%
610,New Voices School of Academic & Creative Arts,"$19,715",568,"$637,180",90%
611,New World High School,"$21,614",400,"$520,303",90%
612,New York City Academy for Discovery,"$22,568",340,"$375,624",90%
613,New York City Lab Middle School for Collaborative Studies,"$19,315",563,"$592,036",90%
614,Newcomers High School,"$20,565",893,"$1,089,897",90%
615,Newtown High School,"$21,846",1814,"$2,036,078",90%
616,Norma Adams Clemons Academy,"$25,623",626,"$695,044",90%
617,North Bronx School of Empowerment,"$24,234",574,$0,100%
618,North Queens Community High School,"$23,447",185,"$246,669",90%
619,NYC iSchool,"$19,426",464,"$526,317",90%
620,Olympus Academy,"$26,752",206,"$260,822",92%
621,One World Middle School at Edenwald,"$30,301",324,"$86,058",98%
622,Orchard Collegiate Academy,"$28,807",194,$0,100%
623,Origins High School,"$23,927",402,$0,100%
624,P. S. 62 - Chester Park School,"$20,154",907,"$912,788",90%
625,P.S. /I.S. 384 Frances E. Carter,"$27,161",443,"$531,144",90%
626,P.S. 001 Alfred E. Smith,"$27,515",281,"$324,499",90%
627,P.S. 001 Courtlandt School,"$24,517",591,"$699,614",90%
628,P.S. 001 The Bergen,"$23,662",1101,"$1,316,273",90%
629,P.S. 001 Tottenville,"$27,986",399,"$466,380",90%
630,P.S. 002 Alfred Zimberg,"$23,053",536,"$563,689",90%
631,P.S. 002 Meyer London,"$27,461",458,"$535,175",90%
632,P.S. 003 Charrette School,"$21,310",684,"$684,441",90%
633,P.S. 003 The Bedford Village,"$24,168",313,"$312,304",90%
634,P.S. 003 The Margaret Gioiosa School,"$24,222",716,"$705,857",90%
635,P.S. 004 Duke Ellington,"$27,604",444,"$546,255",90%
636,P.S. 004 Maurice Wollin,"$34,485",661,"$656,361",90%
637,P.S. 005 Dr. Ronald McNair,"$31,361",174,"$152,436",92%
638,P.S. 005 Ellen Lurie,"$25,816",529,"$652,466",90%
639,P.S. 005 Huguenot,"$24,332",314,$0,109%
640,P.S. 006 Lillie D. Blake,"$20,638",578,"$526,968",90%
641,P.S. 006 West Farms,"$27,095",435,"$501,755",90%
642,P.S. 007 Abraham Lincoln,"$22,331",831,"$896,784",90%
643,P.S. 007 Louis F. Simeone,"$21,402",1314,"$1,229,623",91%
644,P.S. 007 Samuel Stern,"$24,016",439,"$477,652",91%
645,P.S. 008 Isaac Varian,"$23,883",958,"$1,087,188",90%
646,P.S. 008 Luis Belliard,"$24,362",455,"$518,776",90%
647,P.S. 008 Robert Fulton,"$18,730",925,"$860,702",90%
648,P.S. 009,"$76,120",615,N/A,
649,P.S. 009 Sarah Anderson,"$20,392",600,"$507,803",91%
650,P.S. 009 Teunis G. Bergen,"$20,355",794,"$737,976",90%
651,P.S. 011 Highbridge,"$28,021",524,"$617,842",90%
652,P.S. 011 Kathryn Phelan,"$22,968",971,"$1,075,774",90%
653,P.S. 011 Purvis J. Behan,"$17,950",814,"$293,623",96%
654,P.S. 011 William T. Harris,"$19,354",886,"$810,588",90%
655,P.S. 012 James B. Colgate,"$20,815",1180,"$1,270,816",90%
656,P.S. 013 Clement C. Moore,"$21,137",1546,"$1,702,194",90%
657,P.S. 013 M. L. Lindemeyer,"$23,450",855,"$949,923",90%
658,P.S. 013 Roberto Clemente,"$28,645",406,$0,101%
659,P.S. 014 Fairview,"$21,434",1595,"$1,732,869",90%
660,P.S. 015 Jackie Robinson,"$20,279",360,"$93,253",97%
661,P.S. 015 Patrick F. Daly,"$29,422",427,"$468,843",90%
662,P.S. 015 Roberto Clemente,"$34,943",177,$0,100%
663,P.S. 016 John J. Driscoll,"$29,117",430,"$525,429",90%
664,P.S. 016 Leonard Dunkly,"$30,148",210,"$211,238",90%
665,P.S. 016 Wakefield,"$29,102",273,"$308,599",90%
666,P.S. 017 Henry D. Woodworth,"$30,326",243,"$299,281",90%
667,P.S. 017 Henry David Thoreau,"$23,488",473,"$535,153",90%
668,P.S. 018 Edward Bush,"$27,840",177,"$205,623",90%
669,P.S. 018 John G. Whittier,"$27,009",519,"$644,497",90%
670,P.S. 018 John Peter Zenger,"$25,218",550,"$645,865",90%
671,P.S. 018 Park Terrace,"$25,509",330,"$385,839",90%
672,P.S. 018 Winchester,"$18,640",565,"$569,155",90%
673,P.S. 019 Asher Levy,"$36,839",231,"$232,887",90%
674,P.S. 019 Judith K. Weiss,"$21,348",511,"$269,708",95%
675,P.S. 019 Marino Jeantet,"$22,717",1827,"$2,260,615",90%
676,P.S. 019 The Curtis School,"$26,387",479,"$589,940",90%
677,P.S. 020 Anna Silver,"$24,714",421,"$500,397",90%
678,P.S. 020 Clinton Hill,"$21,676",423,"$160,964",96%
679,P.S. 020 John Bowne,"$20,957",1154,"$1,253,172",90%
680,P.S. 020 Port Richmond,"$28,851",433,"$610,802",90%
681,P.S. 021 Crispus Attucks,"$23,470",518,"$531,819",90%
682,P.S. 021 Edward Hart,"$20,318",1302,"$1,331,263",90%
683,P.S. 021 Philip H. Sheridan,"$21,199",722,"$715,436",90%
684,P.S. 022 Graniteville,"$25,350",925,"$1,050,838",90%
685,P.S. 022 Thomas Jefferson,"$21,235",905,"$830,630",92%
686,P.S. 023 Carter G. Woodson,"$27,958",247,"$289,988",90%
687,P.S. 023 Richmondtown,"$25,060",533,"$411,085",92%
688,P.S. 023 The New Children's School,"$30,344",420,"$483,045",90%
689,P.S. 024,"$25,503",616,"$739,179",90%
690,P.S. 024 Andrew Jackson,"$20,884",987,"$1,065,397",90%
691,P.S. 024 Spuyten Duyvil,"$19,732",935,"$214,261",97%
692,P.S. 025 Bilingual School,"$28,884",497,"$550,556",90%
693,P.S. 025 Eubie Blake School,"$49,903",60,$0,209%
694,P.S. 026 Jesse Owens,"$34,867",206,"$195,105",90%
695,P.S. 026 Rufus King,"$20,997",655,"$652,265",90%
696,P.S. 026 The Carteret School,"$24,393",264,$0,115%
697,P.S. 028 Mount Hope,"$27,558",640,"$723,357",90%
698,P.S. 028 The Warren Prep Academy,"$32,356",132,$0,132%
699,P.S. 028 Wright Brothers,"$26,247",612,"$759,144",90%
700,P.S. 029 Bardwell,"$23,398",585,"$585,080",90%
701,P.S. 029 John M. Harrigan,"$18,961",908,"$820,548",90%
702,P.S. 029 Queens,"$21,106",680,"$732,988",90%
703,P.S. 030 Hernandez/Hughes,"$37,953",228,$0,164%
704,P.S. 030 Westerleigh,"$23,557",807,"$835,350",90%
705,P.S. 030 Wilton,"$25,552",476,"$528,536",90%
706,P.S. 031 Bayside,"$21,450",527,"$529,853",90%
707,P.S. 031 Samuel F. Dupont,"$21,629",504,"$490,347",90%
708,P.S. 031 William T. Davis,"$32,859",316,"$333,206",90%
709,P.S. 032 Belmont,"$23,974",763,"$866,187",90%
710,P.S. 032 Samuel Mills Sprole,"$35,139",451,"$19,712",100%
711,P.S. 032 State Street,"$20,057",943,"$883,821",90%
712,P.S. 032 The Gifford School,"$23,055",604,"$605,069",90%
713,P.S. 033 Chelsea Prep,"$18,586",648,"$605,802",90%
714,P.S. 033 Edward M. Funk,"$20,666",942,"$911,981",91%
715,P.S. 033 Timothy Dwight,"$24,058",774,"$873,873",90%
716,P.S. 034 Franklin D. Roosevelt,"$29,882",295,$0,103%
717,P.S. 034 John Harvard,"$20,698",558,"$568,460",90%
718,P.S. 034 Oliver H. Perry,"$21,745",404,"$400,776",90%
719,P.S. 035,"$50,396",324,N/A,
720,P.S. 035 Franz Siegel,"$24,732",640,"$746,272",90%
721,P.S. 035 Nathaniel Woodhull,"$21,385",668,"$689,695",90%
722,P.S. 036 J. C. Drumgoole,"$24,681",739,"$776,559",90%
723,P.S. 036 Margaret Douglas,"$31,126",336,"$412,023",90%
724,P.S. 036 Saint Albans School,"$22,835",427,"$447,210",90%
725,P.S. 036 Unionport,"$22,773",704,"$569,849",92%
726,P.S. 038 George Cromwell,"$27,258",324,"$350,312",90%
727,P.S. 038 Rosedale,"$23,024",284,"$186,360",94%
728,P.S. 038 The Pacific,"$20,182",501,"$454,053",90%
729,P.S. 039 Henry Bristow,"$18,588",426,"$364,853",90%
730,P.S. 040 Augustus Saint-Gaudens,"$19,503",653,"$596,727",90%
731,P.S. 040 George W. Carver,"$25,798",276,"$276,596",90%
732,P.S. 040 Samuel Huntington,"$25,831",358,$0,104%
733,P.S. 041 Crocheron,"$24,543",457,"$441,221",90%
734,P.S. 041 Francis White,"$25,097",452,"$548,882",90%
735,P.S. 041 Greenwich Village,"$20,711",646,"$578,872",90%
736,P.S. 041 Gun Hill Road,"$21,282",907,"$944,262",90%
737,P.S. 042 Benjamin Altman,"$24,802",578,"$688,383",90%
738,P.S. 042 Claremont,"$27,006",385,$0,100%
739,P.S. 042 Eltingville,"$22,859",978,"$383,510",96%
740,P.S. 043,"$23,268",859,"$956,730",90%
741,P.S. 043 Jonas Bronck,"$26,474",383,"$426,275",90%
742,P.S. 044 David C. Farragut,"$25,696",258,"$254,869",91%
743,P.S. 044 Marcus Garvey,"$32,409",134,"$138,360",90%
744,P.S. 044 Thomas C. Brown,"$25,989",772,"$898,757",90%
745,P.S. 045 Clarence Witherspoon,"$26,423",293,"$97,907",97%
746,P.S. 045 John Tyler,"$21,825",827,"$850,047",90%
747,P.S. 046 Albert V. Maniscalco,"$31,029",235,"$270,259",90%
748,P.S. 046 Alley Pond,"$30,092",489,"$127,262",97%
749,P.S. 046 Arthur Tappan,"$25,162",568,"$682,200",90%
750,P.S. 046 Edgar Allan Poe,"$25,831",840,"$1,023,087",90%
751,P.S. 046 Edward C. Blum,"$29,584",196,"$225,346",90%
752,P.S. 047 Chris Galas,"$33,200",195,"$50,180",98%
753,P.S. 047 John Randolph,"$22,817",1003,"$1,103,356",90%
754,P.S. 048 Joseph R. Drake,"$28,916",563,"$686,336",90%
755,P.S. 048 Mapleton,"$23,299",534,"$595,446",90%
756,P.S. 048 P.O. Michael J. Buczek,"$26,378",458,"$578,617",90%
757,P.S. 048 William G. Wilcox,"$22,221",930,"$640,895",93%
758,P.S. 048 William Wordsworth,"$23,182",501,"$490,896",92%
759,P.S. 049 Dorothy Bonawit Kole,"$18,559",1178,"$1,180,238",90%
760,P.S. 049 Willis Avenue,"$25,871",543,$0,101%
761,P.S. 050 Frank Hankinson,"$22,991",673,$0,101%
762,P.S. 050 Talfourd Lawn Elementary School,"$21,150",722,"$762,328",90%
763,P.S. 051,"$23,997",217,"$216,900",90%
764,P.S. 051 Bronx New School,"$22,773",188,"$111,582",93%
765,P.S. 051 Elias Howe,"$22,988",427,"$421,073",90%
766,P.S. 052 John C. Thompson,"$25,640",497,$0,104%
767,P.S. 052 Queens,"$22,776",413,"$329,639",92%
768,P.S. 052 Sheepshead Bay,"$23,733",715,"$746,833",90%
769,P.S. 053 Basheer Quisim,"$23,228",1087,"$1,194,363",90%
770,P.S. 054 Charles W. Leng,"$22,207",752,"$790,564",90%
771,P.S. 054 Hillside,"$22,499",569,"$528,337",92%
772,P.S. 054 Samuel C. Barnes,"$28,792",167,"$131,065",93%
773,P.S. 055 Benjamin Franklin,"$25,790",560,$0,100%
774,P.S. 055 Henry M. Boehm,"$26,901",545,"$448,587",92%
775,P.S. 055 Maure,"$24,965",458,"$320,331",93%
776,P.S. 056 Harry Eichler,"$22,531",400,"$430,100",90%
777,P.S. 056 Lewis H. Latimer,"$30,121",216,"$214,732",90%
778,P.S. 056 Norwood Heights,"$23,115",711,"$778,971",90%
779,P.S. 057 Crescent,"$25,636",441,"$419,071",92%
780,P.S. 057 Hubert H. Humphrey,"$25,770",625,"$396,350",94%
781,P.S. 058,"$26,050",385,"$372,851",92%
782,P.S. 058 The Carroll,"$18,769",922,"$809,176",90%
783,P.S. 059 Beekman Hill International,"$19,190",609,"$457,707",92%
784,P.S. 059 The Community School of Technology,"$28,694",466,$0,106%
785,P.S. 059 William Floyd,"$27,099",264,"$309,487",90%
786,P.S. 060 Alice Austen,"$23,312",820,"$792,900",90%
787,P.S. 060 Woodhaven,"$21,210",1039,"$1,117,276",90%
788,P.S. 061 Francisco Oller,"$24,316",246,"$240,885",90%
789,P.S. 062 Inocensio Casanova,"$23,689",629,"$717,148",90%
790,P.S. 063 Author's Academy,"$24,957",482,"$272,019",95%
791,P.S. 063 Old South,"$22,208",1075,"$1,144,762",90%
792,P.S. 064 Joseph P. Addabbo,"$21,470",560,"$568,264",90%
793,P.S. 064 Robert Simon,"$29,726",199,"$239,554",90%
794,P.S. 065,"$19,412",590,"$608,629",90%
795,P.S. 065 Mother Hale Academy,"$25,934",366,"$293,555",93%
796,P.S. 066 Jacqueline Kennedy Onassis,"$24,611",442,"$535,466",90%
797,P.S. 066 School of Higher Expectations,"$26,522",573,$0,115%
798,P.S. 067 Charles A. Dorsey,"$29,343",211,$0,100%
799,P.S. 067 Mohegan School,"$23,826",459,"$492,104",90%
800,P.S. 068 Bronx,"$31,871",617,"$632,329",90%
801,P.S. 068 Cambridge,"$23,016",580,"$623,667",90%
802,P.S. 069 Daniel D. Tompkins,"$31,978",870,"$543,923",94%
803,P.S. 069 Jackson Heights,"$20,438",964,"$946,049",90%
804,P.S. 069 Journey Prep School,"$22,769",549,"$580,877",90%
805,P.S. 070,"$21,555",761,"$794,699",90%
806,P.S. 070 Max Schoenfeld,"$22,385",1216,"$1,358,439",90%
807,P.S. 071 Forest,"$25,463",632,$0,104%
808,P.S. 071 Rose E. Scala,"$20,872",1590,"$937,389",95%
809,P.S. 072 Dr. William Dorney,"$25,529",720,"$802,709",90%
810,P.S. 073 Bronx,"$24,368",598,"$645,408",90%
811,P.S. 075 Emily Dickinson,"$33,433",554,"$318,799",95%
812,P.S. 075 Mayda Cortiella,"$29,150",285,"$329,100",90%
813,P.S. 076 A. Philip Randolph,"$24,590",387,"$408,307",90%
814,P.S. 076 The Bennington School,"$21,972",906,"$953,292",90%
815,P.S. 076 William Hallet,"$33,747",404,"$456,300",90%
816,P.S. 078 Anne Hutchinson,"$21,554",800,"$786,570",90%
817,P.S. 079 Francis Lewis,"$18,426",1083,"$1,041,789",90%
818,P.S. 081 Robert J. Christen,"$21,315",727,"$415,900",94%
819,P.S. 081 Thaddeus Stevens,"$31,415",251,"$230,964",92%
820,P.S. 082 Hammond,"$21,959",654,"$753,256",90%
821,P.S. 083 Donald Hertz,"$20,591",1671,"$1,491,215",92%
822,P.S. 083 Luis Munoz Rivera,"$23,467",374,"$410,065",90%
823,P.S. 084 Jose De Diego,"$26,892",689,$0,101%
824,P.S. 084 Lillian Weber,"$21,229",549,"$541,366",90%
825,P.S. 084 Steinway,"$24,617",219,"$222,842",90%
826,P.S. 085 Great Expectations,"$26,844",841,$0,100%
827,P.S. 085 Judge Charles Vallone,"$21,708",569,"$576,004",90%
828,P.S. 086 Kingsbridge Heights,"$21,428",1619,"$1,809,070",90%
829,P.S. 086 The Irvington,"$26,837",358,"$427,157",90%
830,P.S. 087 Bronx,"$21,837",595,"$612,341",90%
831,P.S. 087 William Sherman,"$20,052",878,"$869,374",90%
832,P.S. 088 Seneca,"$25,109",841,"$427,597",95%
833,P.S. 089 Bronx,"$20,436",1449,"$1,587,584",90%
834,P.S. 089 Cypress Hills,"$24,281",431,"$536,118",91%
835,P.S. 089 Elmhurst,"$20,671",1873,"$2,137,384",90%
836,P.S. 090 Horace Mann,"$21,927",788,"$845,133",90%
837,P.S. 091 Bronx,"$23,604",717,"$852,869",90%
838,P.S. 091 Richard Arkwright,"$23,244",688,"$733,681",90%
839,P.S. 091 The Albany Avenue School,"$33,877",196,"$207,348",90%
840,P.S. 092 Adrian Hegeman,"$28,783",341,"$392,619",90%
841,P.S. 092 Harry T. Stewart Sr.,"$23,108",824,"$924,184",90%
842,P.S. 092 Mary McLeod Bethune,"$34,745",223,$0,132%
843,P.S. 093 Albert G. Oliver,"$28,248",270,$0,109%
844,P.S. 093 William H. Prescott,"$24,088",240,"$253,398",90%
845,P.S. 094 David D. Porter,"$23,391",303,"$300,161",90%
846,P.S. 094 Kings College School,"$23,600",1252,"$1,423,684",90%
847,P.S. 094 The Henry Longfellow,"$20,366",1351,"$1,513,020",90%
848,P.S. 095 Eastwood,"$20,160",1410,"$1,446,186",90%
849,P.S. 095 Sheila Mencher,"$21,671",1238,"$1,349,195",90%
850,P.S. 095 The Gravesend,"$22,244",923,"$801,108",92%
851,P.S. 096,"$21,226",264,"$239,954",91%
852,P.S. 096 Joseph Lanzetta,"$28,867",342,$0,100%
853,P.S. 096 Richard Rodgers,"$21,181",934,"$974,595",90%
854,P.S. 097 Bronx,"$23,081",622,"$673,403",90%
855,P.S. 097 Forest Park,"$21,990",673,"$726,016",90%
856,P.S. 098 Shorac Kappock,"$30,319",348,"$405,428",90%
857,P.S. 098 The Douglaston School,"$23,371",277,"$118,141",96%
858,P.S. 099 Isaac Asimov,"$20,059",826,"$876,998",90%
859,P.S. 099 Kew Gardens,"$22,770",783,"$831,999",90%
860,P.S. 100 Glen Morris,"$21,899",887,"$927,971",90%
861,P.S. 100 Isaac Clason,"$23,649",556,"$619,997",90%
862,P.S. 100 The Coney Island School,"$20,316",724,"$733,186",90%
863,P.S. 101 School in the Gardens,"$19,626",664,"$65,317",99%
864,P.S. 101 The Verrazano,"$22,817",840,"$1,030,981",90%
865,P.S. 102 Bayview,"$20,354",1273,"$1,337,053",90%
866,P.S. 102 Jacques Cartier,"$27,372",304,"$195,185",94%
867,P.S. 102 The Bayview,"$20,768",1450,"$1,484,126",90%
868,P.S. 103 Hector Fontanez,"$23,193",1005,"$1,126,293",90%
869,P.S. 104 The Bays Water,"$24,617",627,"$675,641",90%
870,P.S. 105 Sen Abraham Bernstein,"$23,844",928,"$1,068,898",90%
871,P.S. 105 The Bay School,"$24,723",782,"$597,701",93%
872,P.S. 105 The Blythebourne,"$19,830",1466,"$1,533,378",90%
873,P.S. 106 Edward Everett Hale,"$29,576",366,"$441,666",90%
874,P.S. 106 Parkchester,"$20,629",1104,"$1,131,487",90%
875,P.S. 107,"$26,143",440,"$495,422",91%
876,P.S. 107 John W. Kimball,"$19,121",548,"$197,382",96%
877,P.S. 107 Thomas A Dooley,"$24,926",907,"$303,305",97%
878,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,"$29,548",379,"$484,887",90%
879,P.S. 108 Captain Vincent G. Fowler,"$19,632",1394,"$1,433,233",90%
880,P.S. 108 Philip J. Abinanti,"$20,825",600,"$181,827",97%
881,P.S. 108 Sal Abbracciamento,"$22,154",833,"$911,767",90%
882,P.S. 109,"$25,695",596,"$677,049",90%
883,P.S. 109 Sedgwick,"$24,205",587,"$646,034",90%
884,P.S. 11 Thomas Dongan School,"$24,684",287,"$197,099",93%
885,P.S. 110,"$20,976",900,$0,100%
886,P.S. 110 Florence Nightingale,"$20,407",327,"$301,727",90%
887,P.S. 110 The Monitor,"$19,309",454,"$225,093",94%
888,P.S. 110 Theodore Schoenfeld,"$24,807",416,"$136,155",97%
889,P.S. 111 Adolph S. Ochs,"$25,955",366,"$367,257",90%
890,P.S. 111 Jacob Blackwell,"$30,621",322,$0,100%
891,P.S. 111 Seton Falls,"$25,131",620,"$59,356",99%
892,P.S. 112 Bronxwood,"$27,208",403,$0,100%
893,P.S. 112 Dutch Kills,"$23,131",407,"$433,445",90%
894,P.S. 112 Jose Celso Barbosa,"$45,453",275,"$315,762",90%
895,P.S. 112 Lefferts Park,"$21,791",680,"$744,872",90%
896,P.S. 114 Ryder Elementary,"$24,735",461,"$520,286",90%
897,P.S. 115 Alexander Humboldt,"$27,585",403,"$448,254",90%
898,P.S. 115 Daniel Mucatel School,"$22,250",803,"$833,270",90%
899,P.S. 116 Elizabeth L Farrell,"$30,261",325,"$412,561",90%
900,P.S. 116 Mary Lindley Murray,"$22,566",469,"$451,900",90%
901,P.S. 117 J. Keld / Briarwood School,"$21,199",897,"$936,596",90%
902,P.S. 118 Lorraine Hansberry,"$24,909",373,"$401,657",90%
903,P.S. 119 Amersfort,"$23,317",416,"$400,810",90%
904,P.S. 120 Carlos Tapia,"$24,664",348,"$343,059",90%
905,P.S. 120 Queens,"$20,769",911,"$1,005,801",90%
906,P.S. 121 Nelson A. Rockefeller,"$35,629",334,"$114,198",97%
907,P.S. 121 Queens,"$19,681",830,"$811,225",90%
908,P.S. 121 Throop,"$21,093",854,"$797,835",90%
909,P.S. 122 Mamie Fay,"$17,997",1333,"$1,251,641",90%
910,P.S. 123,"$22,408",631,"$662,851",90%
911,P.S. 123 Mahalia Jackson,"$29,160",416,$0,100%
912,P.S. 123 Suydam,"$25,789",541,"$622,545",90%
913,P.S. 124 Osmond A Church,"$19,143",1221,"$1,210,090",90%
914,P.S. 124 Silas B. Dutcher,"$24,292",296,"$338,079",90%
915,P.S. 124 Yung Wing,"$21,749",599,"$623,961",90%
916,P.S. 125 Ralph Bunche,"$26,088",287,$0,106%
917,P.S. 126 Dr Marjorie H Dunbar,"$23,964",516,"$566,020",90%
918,P.S. 126 Jacob August Riis,"$22,576",740,"$844,811",90%
919,P.S. 127 Aerospace Science Magnet School,"$21,247",1247,"$1,387,613",90%
920,P.S. 127 McKinley Park,"$23,031",528,"$582,342",90%
921,P.S. 128 Audubon,"$25,065",499,"$539,567",90%
922,P.S. 128 Bensonhurst,"$22,795",488,"$76,576",99%
923,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School","$18,904",940,"$352,348",96%
924,P.S. 129 John H. Finley,"$28,812",386,"$70,891",98%
925,P.S. 129 Patricia Larkin,"$21,342",1077,"$616,343",95%
926,P.S. 130,"$23,442",402,"$348,610",91%
927,P.S. 130 Abram Stevens Hewitt,"$25,233",445,"$518,235",90%
928,P.S. 130 Hernando De Soto,"$19,857",836,"$813,386",90%
929,P.S. 130 The Parkside,"$22,887",781,"$867,206",90%
930,P.S. 131 Abigail Adams,"$21,143",749,"$751,478",90%
931,P.S. 131 Brooklyn,"$22,390",949,"$1,119,132",90%
932,P.S. 132 Garret A. Morgan,"$30,810",335,"$58,566",99%
933,P.S. 132 Juan Pablo Duarte,"$36,641",262,$0,100%
934,P.S. 132 Ralph Bunche,"$22,779",355,"$99,274",97%
935,P.S. 132 The Conselyea School,"$20,213",620,"$564,938",90%
936,P.S. 133 Fred R Moore,"$38,862",186,"$190,390",90%
937,P.S. 133 Queens,"$22,353",521,$0,105%
938,P.S. 133 William A. Butler,"$21,101",701,"$201,764",97%
939,P.S. 134 George F. Bristow,"$23,122",545,"$571,799",90%
940,P.S. 134 Henrietta Szold,"$33,798",245,"$22,861",99%
941,P.S. 134 Hollis,"$26,688",326,"$157,776",96%
942,P.S. 135 Sheldon A. Brookner,"$23,049",499,"$486,554",90%
943,P.S. 136 Roy Wilkins,"$21,749",533,"$527,108",90%
944,P.S. 138,"$92,564",604,N/A,
945,P.S. 138 Brooklyn,"$27,689",504,"$551,470",90%
946,P.S. 138 Samuel Randall,"$23,449",614,"$658,243",90%
947,P.S. 139 Alexine A. Fenty,"$21,182",926,"$982,058",90%
948,P.S. 139 Rego Park,"$20,108",742,"$773,292",90%
949,P.S. 140 Edward K Ellington,"$21,969",474,"$477,984",90%
950,P.S. 140 Nathan Straus,"$26,391",337,"$398,391",90%
951,P.S. 142 Amalia Castro,"$28,543",313,"$427,652",90%
952,P.S. 143 Louis Armstrong,"$24,172",1354,"$1,713,427",90%
953,P.S. 144 Col Jeromus Remsen,"$20,215",805,$0,102%
954,P.S. 145 Andrew Jackson,"$25,815",490,"$535,779",90%
955,"P.S. 145, The Bloomingdale School","$24,662",413,"$255,110",94%
956,P.S. 146 Ann M. Short,"$33,919",296,"$389,017",90%
957,P.S. 146 Edward Collins,"$24,315",367,"$419,160",90%
958,P.S. 146 Howard Beach,"$23,388",623,$0,108%
959,P.S. 147 Isaac Remsen,"$24,463",328,$0,108%
960,P.S. 148 Queens,"$23,336",782,"$876,888",90%
961,P.S. 149 Christa McAuliffe,"$21,114",1011,"$1,119,913",90%
962,P.S. 149 Danny Kaye,"$21,930",605,"$599,477",90%
963,P.S. 149 Sojourner Truth,"$28,005",221,$0,100%
964,P.S. 150,"$21,595",168,"$138,724",90%
965,P.S. 150 Charles James Fox,"$24,211",718,"$820,830",90%
966,P.S. 150 Christopher,"$29,473",193,"$226,556",90%
967,P.S. 150 Queens,"$20,614",975,"$1,014,513",90%
968,P.S. 151 Lyndon B. Johnson,"$28,831",259,"$295,684",90%
969,P.S. 151 Mary D. Carter,"$29,422",332,"$394,810",90%
970,P.S. 152 Dyckman Valley,"$26,743",459,"$567,734",90%
971,P.S. 152 Evergreen,"$24,195",800,"$890,799",90%
972,P.S. 152 Gwendoline N. Alleyne School,"$21,854",970,"$1,050,245",90%
973,P.S. 153 Adam Clayton Powell,"$24,641",472,"$534,060",90%
974,P.S. 153 Helen Keller,"$23,140",608,$0,104%
975,P.S. 153 Homecrest,"$23,684",521,"$544,822",90%
976,P.S. 153 Maspeth Elem,"$21,387",1061,"$1,046,580",90%
977,P.S. 154 Harriet Tubman,"$30,049",258,$0,106%
978,P.S. 154 Jonathan D. Hyatt,"$29,094",316,$0,100%
979,P.S. 154 Queens,"$23,104",622,"$686,298",90%
980,P.S. 155,"$21,477",451,"$443,814",90%
981,P.S. 155 William Paca,"$31,474",219,"$281,685",90%
982,P.S. 156 Laurelton,"$26,839",236,$0,106%
983,P.S. 156 Waverly,"$23,394",654,$0,100%
984,P.S. 157 Grove Hill,"$23,748",582,"$310,149",95%
985,P.S. 158 Bayard Taylor,"$19,493",719,"$658,405",90%
986,P.S. 158 Warwick,"$23,268",504,$0,100%
987,P.S. 159,"$20,344",628,"$240,640",96%
988,P.S. 159 Isaac Pitkin,"$21,724",722,"$741,431",90%
989,P.S. 159 Luis Munoz Marin Biling,"$24,292",199,"$195,718",90%
990,P.S. 160 Walt Disney,"$29,710",334,$0,127%
991,P.S. 160 Walter Francis Bishop,"$23,604",553,"$578,814",90%
992,P.S. 160 William T. Sampson,"$22,774",1165,"$1,409,205",90%
993,P.S. 161 Arthur Ashe School,"$22,261",646,"$665,492",90%
994,P.S. 161 Juan Ponce De Leon School,"$28,694",451,"$135,851",97%
995,P.S. 161 Pedro Albizu Campos,"$25,151",802,"$378,536",96%
